Luigi Circuit,01:10.988,06/12/2025
Moo Moo Meadows,01:19.758,03/29/2025
Mushroom Gorge,01:45.669,06/12/2025
Toad's Factory,01:54.170,04/05/2025
Mario Circuit,01:23.381,06/11/2025
Coconut Mall,02:02.197,06/06/2025
DK's Snowboard Cross,01:58.799,06/01/2025
Wario's Gold Mine,01:57.126,06/07/2025
Daisy Circuit,01:33.602,04/04/2025
Koopa Cape,02:26.100,06/10/2025
Maple Treeway,02:25.551,04/03/2025
Grumble Volcano,02:00.749,06/07/2025
Moonview Highway,01:48.309,6/7/2025
Bowser's Castle,02:30.240,6/6/2025
Rainbow Road,02:36.774,04/03/2025
GCN Peach Beach,01:15.750,06/08/2025
DS Yoshi Falls,01:01.731,6/8/2025
SNES Ghost Valley 2,00:55.243,06/01/2025
N64 Mario Raceway,01:46.292,6/7/2025
N64 Sherbet Land,02:09.235,06/08/2025
GBA Shy Guy Beach,01:25.398,04/04/2025
DS Delfino Square,02:09.873,04/06/2025
GCN Waluigi Stadium,01:58.917,04/03/2025
DS Desert Hills,01:44.008,04/04/2025
GBA Bowser Castle 3,02:24.488,06/07/2024
N64 DK's Jungle Parkway,02:18.595,6/5/2025
GCN Mario Circuit,01:36.795,06/07/2025
SNES Mario Circuit 3,01:20.532,06/04/2025
DS Peach Gardens,02:06.135,04/04/2025
GCN DK Mountain,02:13.506,06/04/2025
N64 Bowser's Castle,02:39.121,04/04/2025
N64 Sherbet Land,02:08.804,06/12/2025
GBA Shy Guy Beach,01:24.378,06/12/2025
DS Delfino Square,02:09.732,06/15/2025
N64 Bowser's Castle,02:38.196,06/15/2025
Wario's Gold Mine,01:56.523,06/16/2025
Rainbow Road,02:35.129,06/17/2025
DS Yoshi Falls,01:01.613,6/17/2025
Mushroom Gorge,01:45.654,06/16/2025
DS Desert Hills,01:40.160,06/17/2025
GCN Peach Beach,01:15.648,06/21/2025
GCN Mario Circuit,01:35.687,06/22/2025
Wario's Gold Mine,01:55.874,06/22/2025
GCN Peach Beach,01:15.508,06/21/2025
DS Delfino Square,02:08.799,06/22/2025
DS Desert Hills,01:39.521,06/22/2025
DS Peach Gardens,02:04.726,06/22/2025
GCN DK Mountain,02:12.870,06/22/2025
Wario's Gold Mine,01:55.247,06/24/2025
DS Desert Hills,01:39.388,06/25/2025
SNES Ghost Valley 2,00:54.724,06/30/2025
Wario's Gold Mine,01:55.196,06/24/2025
Wario's Gold Mine,01:55.048,07/02/2025
Wario's Gold Mine,01:54.733,07/05/2025
SNES Ghost Valley 2,00:54.546,07/11/2025
Luigi Circuit,01:10.518,07/13/2025
Luigi Circuit,01:10.310,07/17/2025
Coconut Mall,02:01.510,07/18/2025
