Moo Moo Meadows,01:19.182,6/1/2025
Mushroom Gorge,01:48.276,6/1/2025
Mario Circuit,01:24.558,6/1/2025
Coconut Mall,02:03.337,6/1/2025
DK's Snowboard Cross,01:58.544,6/1/2025
Wario's Gold Mine,01:57.552,6/1/2025
Daisy Circuit,01:32.310,6/1/2025
Koopa Cape,02:30.189,6/1/2025
Maple Treeway,02:26.074,6/1/2025
Grumble Volcano,02:00.851,6/1/2025
Dry Dry Ruins,02:00.662,6/1/2025
Bowser's Castle,02:30.051,6/1/2025
Rainbow Road,02:35.805,6/1/2025
GCN Peach Beach,01:15.857,6/1/2025
N64 Mario Raceway,01:45.535,6/1/2025
GBA Shy Guy Beach,01:25.565,6/1/2025
DS Delfino Square,02:11.239,6/1/2025
GCN Waluigi Stadium,02:00.409,6/1/2025
GBA Bowser Castle 3,09:59.100,6/1/2025
N64 DK's Jungle Parkway,02:24.777,6/1/2025
GCN Mario Circuit,01:36.443,6/1/2025
SNES Mario Circuit 3,01:20.955,6/1/2025
DS Peach Gardens,02:05.364,6/1/2025
GCN DK Mountain,02:17.375,6/1/2025
N64 Bowser's Castle,02:38.705,6/1/2025
Wario's Gold Mine,01:57.086,6/15/2025
DS Desert Hills,01:42.195,6/13/2025
Wario's Gold Mine,01:56.175,6/22/2025
Wario's Gold Mine,01:55.761,6/23/2025
Wario's Gold Mine,01:55.647,6/24/2025
Wario's Gold Mine,01:54.844,6/30/2025
Wario's Gold Mine,01:54.774,7/1/2025
