Moo Moo Meadows,01:19.182,06/01/2025
Mushroom Gorge,01:48.276,06/01/2025
Mario Circuit,01:24.558,06/01/2025
Coconut Mall,02:03.337,06/01/2025
DK's Snowboard Cross,01:58.544,06/01/2025
Wario's Gold Mine,01:57.552,06/01/2025
Daisy Circuit,01:32.310,06/01/2025
Koopa Cape,02:30.189,06/01/2025
Maple Treeway,02:26.074,06/01/2025
Grumble Volcano,02:00.851,06/01/2025
Dry Dry Ruins,02:00.662,06/01/2025
Bowser's Castle,02:30.051,06/01/2025
Rainbow Road,02:35.805,06/01/2025
GCN Peach Beach,01:15.857,06/01/2025
N64 Mario Raceway,01:45.535,06/01/2025
GBA Shy Guy Beach,01:25.565,06/01/2025
DS Delfino Square,02:11.239,06/01/2025
GCN Waluigi Stadium,02:00.409,06/01/2025
GBA Bowser Castle 3,02:10.952,06/01/2025
N64 DK's Jungle Parkway,02:24.777,06/01/2025
GCN Mario Circuit,01:36.443,06/01/2025
SNES Mario Circuit 3,01:20.955,06/01/2025
DS Peach Gardens,02:05.364,06/01/2025
GCN DK Mountain,02:17.375,06/01/2025
N64 Bowser's Castle,02:38.705,06/01/2025
DS Desert Hills,01:42.195,06/13/2025
Wario's Gold Mine,01:56.175,06/22/2025
Maple Treeway,02:24.917,07/26/2025
Maple Treeway,02:24.341,07/28/2025
Maple Treeway,02:24.178,07/29/2025
